,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.60320472717285,15.425999641418457,40.926429748535156,49.84857177734375,27.332500457763672,15.425999641418457,46.7599983215332,49.84857177734375,27.860000610351562,15.737500190734863,47.41999816894531,50.33142852783203,26.837499618530273,15.347999572753906,46.540000915527344,48.73143005371094,27.84749984741211,15.628999710083008,46.65999984741211,49.15142822265625,212818400,55664000,27913900,13475000
2015-01-05,23.910093307495117,15.10949993133545,40.55009460449219,47.31142807006836,26.5625,15.10949993133545,46.33000183105469,47.31142807006836,27.162500381469727,15.418999671936035,46.72999954223633,49.25857162475586,26.352500915527344,15.042499542236328,46.25,47.14714431762695,27.072500228881836,15.350500106811523,46.369998931884766,49.25857162475586,257142000,55484000,39673900,18165000
2015-01-06,23.912343978881836,14.76449966430664,39.95493698120117,46.50143051147461,26.565000534057617,14.76449966430664,45.650001525878906,46.50143051147461,26.857500076293945,15.149999618530273,46.75,47.63999938964844,26.157499313354492,14.619000434875488,45.540000915527344,45.66143035888672,26.635000228881836,15.112000465393066,46.380001068115234,47.34714126586914,263188400,70380000,36447900,16037700
2015-01-07,24.247644424438477,14.920999526977539,40.46255874633789,46.74285888671875,26.9375,14.920999526977539,46.22999954223633,46.74285888671875,27.049999237060547,15.064000129699707,46.459999084472656,47.42142868041992,26.674999237060547,14.766500473022461,45.4900016784668,46.271427154541016,26.799999237060547,14.875,45.97999954223633,47.34714126586914,160423600,52806000,29114100,9849700
2015-01-08,25.17929458618164,15.02299976348877,41.652896881103516,47.779998779296875,27.97249984741211,15.02299976348877,47.59000015258789,47.779998779296875,28.037500381469727,15.156999588012695,47.75,47.83571243286133,27.174999237060547,14.805500030517578,46.720001220703125,46.478572845458984,27.3075008392334,15.015999794006348,46.75,47.119998931884766,237458000,61768000,29645200,9601900
2015-01-09,25.206300735473633,14.846500396728516,41.30280303955078,47.04142761230469,28.002500534057617,14.846500396728516,47.189998626708984,47.04142761230469,28.3125,15.143500328063965,47.81999969482422,48.02000045776367,27.552499771118164,14.833999633789062,46.900001525878906,46.8985710144043,28.167499542236328,15.074000358581543,47.61000061035156,47.63142776489258,214798000,51848000,23944200,9578100
2015-01-12,24.5851993560791,14.570500373840332,40.786399841308594,45.547142028808594,27.3125,14.570500373840332,46.599998474121094,45.547142028808594,28.157499313354492,14.92549991607666,47.540000915527344,47.198570251464844,27.200000762939453,14.46399974822998,46.36000061035156,45.264286041259766,28.149999618530273,14.878000259399414,47.41999816894531,47.09000015258789,198603200,68428000,23651900,12944400
2015-01-13,24.803485870361328,14.737000465393066,40.57634353637695,46.255714416503906,27.55500030517578,14.737000465393066,46.36000061035156,46.255714416503906,28.200000762939453,15.074999809265137,47.90999984741211,47.0485725402832,27.227500915527344,14.661499977111816,46.060001373291016,45.900001525878906,27.857500076293945,14.87399959564209,46.970001220703125,46.021427154541016,268367600,82728000,35270600,18721500
2015-01-14,24.70897102355957,14.66349983215332,40.22623825073242,46.31999969482422,27.450000762939453,14.66349983215332,45.959999084472656,46.31999969482422,27.622499465942383,14.795499801635742,46.2400016784668,47.369998931884766,27.125,14.324999809265137,45.619998931884766,45.68000030517578,27.260000228881836,14.596500396728516,45.959999084472656,47.07143020629883,195826400,110774000,29719600,19884900
2015-01-15,24.038366317749023,14.34749984741211,39.80613327026367,46.25143051147461,26.704999923706055,14.34749984741211,45.47999954223633,46.25143051147461,27.514999389648438,14.800000190734863,46.380001068115234,46.78571319580078,26.665000915527344,14.340999603271484,45.40999984741211,45.84428787231445,27.5,14.699999809265137,46.220001220703125,46.547142028808594,240056000,88384000,32750800,11669000
2015-01-16,23.851581573486328,14.536999702453613,40.471317291259766,48.191429138183594,26.497499465942383,14.536999702453613,46.2400016784668,48.191429138183594,26.895000457763672,14.53950023651123,46.279998779296875,48.25,26.299999237060547,14.262499809265137,45.16999816894531,46.38142776489258,26.75749969482422,14.314000129699707,45.310001373291016,46.85714340209961,314053200,69564000,35695300,19696600
2015-01-20,24.465930938720703,14.472000122070312,40.60260772705078,49.82857131958008,27.18000030517578,14.472000122070312,46.38999938964844,49.82857131958008,27.24250030517578,14.668000221252441,46.650001525878906,50.0,26.625,14.319499969482422,45.56999969482422,47.71428680419922,26.959999084472656,14.629500389099121,46.29999923706055,48.57143020629883,199599600,61502000,36161900,40551000
